langKey,langMsg
code_0,操作成功
code_1,操作失败：签名验证失败
code_2,操作失败：身份信息验证失败
code_3,操作失败：参数错误
code_4,操作失败：请联系系统管理员
code_5,操作失败：亲友圈不存在
code_6,操作失败：未开启此功能
code_7,操作失败：无权限操作
code_8,操作失败：权限不足
code_9,操作失败：您不是该军团成员
code_10,失败：权限不够，仅限群主和管理员
code_11,操作失败：尚未加入亲友圈
code_12,操作失败：系统繁忙，请稍后再试
code_13,失败：玩家在牌局中，不能进行此操作
code_14,操作失败：成员不存在
code_15,操作失败：你的比赛分不够本次转移
code_16,操作失败：成员比赛分不够本次转移
code_17,失败：该玩家比赛分已上锁，不可操作
code_18,操作失败：该玩家已下线，不可操作
code_19,失败：您在牌局中，不能进行此操作
code_20,操作失败：亲友圈已暂停
code_21,失败：成员或成员下级的比赛分不为0
code_22,操作失败：分配错误{0}
code_23,操作失败：模式不存在
code_24,操作失败：没有找到该房间
code_25,操作失败：没有找到该玩家
code_26,操作失败：已绑定，不可重复绑定
code_27,操作失败：目标玩家零钱包不为零
